# E, Spec, Angle, Q2, CS/DipCS, dSCS/DipCS, MinCut, MaxCut, TPE, Sys_Scal, Norm
199.600000 W 70.000000 4.600000e-02 9.517528e-01 1.067701e-02 1 1 1.008400 1 34
228.900000 W 28.000000 1.190000e-02 9.761614e-01 1.968080e-02 1 1 1.004500 1 34
228.900000 W 40.000000 2.320000e-02 9.803538e-01 1.245329e-02 1 1 1.005800 1 34
228.900000 W 45.000000 2.860000e-02 9.629754e-01 1.181443e-02 1 1 1.006300 1 34
228.900000 W 50.000000 3.440000e-02 9.633668e-01 9.352119e-03 1 1 1.006800 1 34
228.900000 W 55.000000 4.050000e-02 9.436753e-01 1.142419e-02 1 1 1.007200 1 34
228.900000 W 60.000000 4.670000e-02 9.526307e-01 9.473658e-03 1 1 1.007600 1 34
228.900000 W 70.000000 5.940000e-02 9.591695e-01 8.377237e-03 1 1 1.008400 1 34
228.900000 W 75.000000 6.580000e-02 9.610541e-01 8.553839e-03 1 1 1.008700 1 34
249.600000 W 28.000000 1.410000e-02 9.551969e-01 1.891470e-02 1 1 1.004500 1 34
249.600000 W 35.000000 2.150000e-02 9.580514e-01 1.092834e-02 1 1 1.005300 1 34
249.600000 W 40.000000 2.740000e-02 9.605305e-01 1.292053e-02 1 1 1.005800 1 34
249.600000 W 45.000000 3.390000e-02 9.545905e-01 1.076522e-02 1 1 1.006300 1 34
249.600000 W 50.000000 4.060000e-02 9.416785e-01 1.309888e-02 1 1 1.006800 1 34
249.600000 W 55.000000 4.770000e-02 9.407013e-01 1.307549e-02 1 1 1.007200 1 34
249.600000 W 60.000000 5.500000e-02 9.461545e-01 1.031277e-02 1 1 1.007600 1 34
249.600000 W 65.000000 6.240000e-02 9.548058e-01 1.292612e-02 1 1 1.008000 1 34
249.600000 W 70.000000 6.980000e-02 9.416306e-01 1.029158e-02 1 1 1.008400 1 34
249.600000 W 75.000000 7.710000e-02 9.499102e-01 1.401980e-02 1 1 1.008700 1 34
275.300000 W 28.000000 1.720000e-02 9.825211e-01 1.983713e-02 1 1 1.004500 1 34
275.300000 W 50.000000 4.900000e-02 9.503596e-01 7.872972e-03 1 1 1.006800 1 34
275.300000 W 60.000000 6.610000e-02 9.419740e-01 9.778588e-03 1 1 1.007600 1 34
275.300000 W 70.000000 8.360000e-02 9.473701e-01 9.801624e-03 1 1 1.008400 1 34
149.400000 W 28.000000 5.100000e-03 9.993277e-01 9.704229e-03 1 1 1.004500 1 34
149.400000 W 30.000000 5.900000e-03 9.897156e-01 8.734181e-03 1 1 1.004700 1 34
149.400000 W 35.000000 7.900000e-03 9.986026e-01 8.363910e-03 1 1 1.005300 1 34
199.500000 W 28.000000 9.100000e-03 9.914534e-01 8.759758e-03 1 1 1.004500 1 34
149.400000 W 40.000000 1.010000e-02 9.934814e-01 8.834914e-03 1 1 1.005800 1 34
199.500000 W 30.000000 1.040000e-02 9.928253e-01 8.697055e-03 1 1 1.004700 1 34
149.400000 W 45.000000 1.250000e-02 9.873089e-01 8.249504e-03 1 1 1.006300 1 34
199.500000 W 35.000000 1.390000e-02 9.996044e-01 9.058680e-03 1 1 1.005300 1 34
149.400000 W 50.000000 1.510000e-02 9.915187e-01 8.363982e-03 1 1 1.006800 1 34
199.500000 W 40.000000 1.770000e-02 9.864691e-01 7.920786e-03 1 1 1.005800 1 34
149.400000 W 55.000000 1.780000e-02 9.984775e-01 9.315047e-03 1 1 1.007200 1 34
149.400000 W 60.000000 2.070000e-02 9.858460e-01 8.786535e-03 1 1 1.007600 1 34
199.500000 W 45.000000 2.200000e-02 9.802030e-01 7.963193e-03 1 1 1.006300 1 34
149.400000 W 65.000000 2.360000e-02 9.911226e-01 8.866420e-03 1 1 1.008000 1 34
199.500000 W 50.000000 2.640000e-02 9.851001e-01 8.243096e-03 1 1 1.006800 1 34
149.400000 W 70.000000 2.660000e-02 9.797031e-01 9.235826e-03 1 1 1.008400 1 34
199.500000 W 55.000000 3.110000e-02 9.760372e-01 9.498559e-03 1 1 1.007200 1 34
199.500000 W 60.000000 3.600000e-02 9.865174e-01 1.078787e-02 1 1 1.007600 1 34
149.800000 W 27.960000 5.100000e-03 9.789342e-01 1.418813e-02 1 1 1.004500 1 34
228.700000 W 27.960000 1.190000e-02 9.949455e-01 8.901732e-03 1 1 1.004500 1 34
274.800000 W 27.960000 1.710000e-02 9.965350e-01 8.775285e-03 1 1 1.004500 1 34
301.400000 W 27.960000 2.040000e-02 9.835051e-01 8.199401e-03 1 1 1.004500 1 34
321.300000 W 27.960000 2.320000e-02 9.810076e-01 7.687532e-03 1 1 1.004500 1 34
9750.000000 W 10.000000 2.495000e+00 1.011228e+00 1.852752e-02 1 1 1.001800 1 34
12571.000000 W 10.000000 3.989000e+00 9.636429e-01 1.900987e-02 1 1 1.001800 1 34
15736.000000 W 10.000000 5.996000e+00 9.080797e-01 1.979822e-02 1 1 1.001800 1 34
18482.000000 W 10.000000 7.988000e+00 8.395732e-01 2.370705e-02 1 1 1.001800 1 34
21005.000000 W 10.000000 1.000400e+01 7.842219e-01 3.039265e-02 1 1 1.001800 1 34
4500.000000 W 4.000000 9.800000e-02 9.192004e-01 2.571434e-02 1 1 1.000800 1 34
7001.000000 W 4.000000 2.350000e-01 9.448754e-01 2.650306e-02 1 1 1.000800 1 34
9993.000000 W 4.000000 4.740000e-01 9.527041e-01 2.667521e-02 1 1 1.000800 1 34
13000.000000 W 4.000000 7.970000e-01 9.875132e-01 2.764677e-02 1 1 1.000800 1 34
16000.000000 W 4.000000 1.198000e+00 1.029853e+00 2.885530e-02 1 1 1.000800 1 34
18010.000000 W 4.000000 1.510000e+00 1.047016e+00 2.924484e-02 1 1 1.000800 1 34
20005.000000 W 4.000000 1.853000e+00 1.072282e+00 3.014675e-02 1 1 1.000800 1 34
3820.000000 W 47.500000 4.080000e+00 9.201228e-01 5.719344e-02 1 1 1.006600 1 34
3870.000000 W 47.300000 4.160000e+00 1.025294e+00 6.377063e-02 1 1 1.006600 1 34
3110.000000 W 76.500000 4.200000e+00 1.005426e+00 6.600437e-02 1 1 1.008800 1 34
4340.000000 W 47.600000 4.880000e+00 9.233453e-01 5.820935e-02 1 1 1.006600 1 34
4960.000000 W 47.500000 5.890000e+00 9.712810e-01 6.238066e-02 1 1 1.006600 1 34
5540.000000 W 47.500000 6.850000e+00 8.396519e-01 5.491885e-02 1 1 1.006600 1 34
6130.000000 W 47.600000 7.850000e+00 8.952015e-01 5.970324e-02 1 1 1.006600 1 34
5500.000000 W 20.150000 2.725700e+00 1.151005e+00 4.204381e-02 1 1 1.003400 1 34
6000.000000 W 19.050000 2.920400e+00 1.046414e+00 7.706120e-02 1 1 1.003300 1 34
6000.000000 W 21.670000 3.504500e+00 1.172533e+00 2.977737e-02 1 1 1.003600 1 34
5500.000000 W 26.280000 3.893900e+00 1.125511e+00 4.595942e-02 1 1 1.004200 1 34
6000.000000 W 26.270000 4.477900e+00 1.120476e+00 4.676110e-02 1 1 1.004200 1 34
6000.000000 W 29.280000 5.062000e+00 1.079620e+00 6.152256e-02 1 1 1.004600 1 34
6000.000000 W 33.750000 5.840800e+00 1.092831e+00 9.782089e-02 1 1 1.005200 1 34
936.000000 W 180.000000 1.170000e+00 1.021753e+00 2.415296e-02 1 1 1.011500 1 34
971.900000 W 180.000000 1.230000e+00 1.026467e+00 3.602169e-02 1 1 1.011500 1 34
1019.400000 W 180.000000 1.310000e+00 1.022539e+00 2.502453e-02 1 1 1.011500 1 34
1107.600000 W 180.000000 1.460000e+00 1.048573e+00 2.270941e-02 1 1 1.011500 1 34
5483.000000 W 21.010000 2.862000e+00 1.056008e+00 2.442838e-02 1 1 1.003500 1 34
5483.000000 W 25.010000 3.621000e+00 1.059352e+00 3.105580e-02 1 1 1.004100 1 34
7640.000000 W 21.010000 5.027000e+00 1.019572e+00 2.172989e-02 1 1 1.003500 1 34
6676.000000 W 25.010000 4.991000e+00 1.033274e+00 2.864700e-02 1 1 1.004100 1 34
5507.000000 W 33.010000 5.017000e+00 1.009828e+00 2.792046e-02 1 1 1.005100 1 34
9625.000000 W 21.010000 7.300000e+00 9.012381e-01 2.578182e-02 1 1 1.003500 1 34
11470.000000 W 21.010000 9.629000e+00 8.017228e-01 2.669244e-02 1 1 1.003500 1 34
13210.000000 W 21.010000 1.199000e+01 7.679150e-01 2.758350e-02 1 1 1.003500 1 34
